,data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_attualmente_positivi,nuovi_attualmente_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,std,std_ricoverati_con_sintomi,std_terapia_intensiva,std_totale_ospedalizzati,std_isolamento_domiciliare,std_totale_attualmente_positivi,std_nuovi_attualmente_positivi,std_dimessi_guariti,std_deceduti,std_totale_casi,std_tamponi
525,2020-03-21 17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,585.4270218402459,580.3825212644001,585.4270218402459,582.6691729263265,585.4270218402459,582.3714072216052,574.7853947234731,580.3825212644001,585.4270218402459,585.5085462559662,0.0,12.271761943433377,17.908670742864775,12.271761943433377,14.512943946281391,12.271761943433377,12.55283904028961,18.786284259711167,17.908670742864775,12.271761943433377,11.494633650341509
526,2020-03-21 17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,63.50710855018531,66.77395505031521,64.26977134028985,64.1902194802756,64.1902194802756,65.57226503420509,0.0,0.0,64.1902194802756,64.23811178899116,0.0,4.081120972591592,4.1823539957769285,3.777901170346362,3.3925628033324444,3.3925628033324444,4.211902882249844,0.0,0.0,3.3925628033324444,3.118078414179116
527,2020-03-21 17:00:00,ITA,4,P.A. Bolzano,46.49933453,11.35662422,702.5660758678697,677.9389335866724,702.5660758678697,694.8017838692671,702.5660758678697,685.6018166636004,412.7499983648135,667.2720331153441,702.5660758678697,702.6027355400421,0.0,20.564025347922353,16.5078159559768,20.564025347922353,25.46289438972456,20.564025347922353,19.04611879142192,71.05431584756123,10.567795614485012,20.564025347922353,20.13665888692295
528,2020-03-21 17:00:00,ITA,18,Calabria,38.90597598,16.59440194,267.47907636697016,263.9858605032703,267.47907636697016,268.234973287204,268.234973287204,265.8104934956259,265.0888638389786,256.8987038876417,268.234973287204,268.313829069503,0.0,7.0894926933861795,7.55870877182892,7.0894926933861795,6.122963244674328,6.122963244674328,6.812347408159621,7.518223601781099,6.258094396994464,6.122963244674328,5.606448827228469
529,2020-03-21 17:00:00,ITA,15,Campania,40.83956555,14.25084984,895.7743510866538,882.8991967932149,895.7743510866538,895.7743510866538,895.7743510866538,917.5682324997675,882.8991967932149,883.6375769333177,895.7743510866538,897.148425530824,0.0,20.387060539295497,26.076106727835,20.387060539295497,20.387060539295497,20.387060539295497,12.806465923983364,26.076106727835,32.092742484782185,20.387060539295497,19.47382883474798
530,2020-03-21 17:00:00,ITA,8,Emilia Romagna,44.49436681,11.3417208,6979.581563317313,6979.581563317313,6979.581563317313,6979.581563317313,6979.581563317313,6979.581563317313,6883.239714153845,6962.166555920831,6979.581563317313,6979.581563317313,0.0,96.23180272098026,96.23180272098026,96.23180272098026,96.23180272098026,96.23180272098026,96.23180272098026,57.04501459414003,90.36025514954383,96.23180272098026,96.23180272098026
531,2020-03-21 17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,813.8732298997486,799.4234013442481,813.8732298997486,817.2322172825524,817.2322172825524,814.6614501949763,804.4044136362373,793.1980279511638,817.2322172825524,821.708459507304,0.0,34.03808086265104,34.90643338326862,34.03808086265104,32.861906658765825,32.861906658765825,33.47583900348644,35.03053802381347,34.391322979590086,32.861906658765825,29.465270634203176
532,2020-03-21 17:00:00,ITA,12,Lazio,41.89277044,12.48366722,1254.6410294380314,1248.277705313276,1254.6410294380314,1252.0018908599898,1254.6410294380314,1253.0857002633436,1256.2043480000898,1244.1967737558057,1256.2043480000898,1256.2043480000898,0.0,27.695801525893263,28.53775019640951,27.695801525893263,29.9740645333277,27.695801525893263,28.639728990715696,26.294605529621286,31.909864123902945,26.294605529621286,26.294605529621286
533,2020-03-21 17:00:00,ITA,7,Liguria,44.41149315,8.9326992,1561.4842996734142,1560.746185862562,1561.4842996734142,1561.1130184019953,1561.4842996734142,1554.88966880256,1560.746185862562,1559.6175620543115,1561.4842996734142,1561.7730325992136,0.0,44.18699207457581,48.64441304140018,44.18699207457581,45.102350762080924,44.18699207457581,47.28318461695931,48.64441304140018,52.87466931617222,44.18699207457581,43.312232494390344
534,2020-03-21 17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,27033.008173826627,27033.008173826627,27033.008173826627,27033.008173826627,27033.008173826627,27018.21067709954,26925.02939714835,27033.008173826627,27033.008173826627,27033.008173826627,0.0,712.5196769160208,712.5196769160208,712.5196769160208,712.5196769160208,712.5196769160208,729.9145704493866,730.8638559480743,712.5196769160208,712.5196769160208,712.5196769160208
535,2020-03-21 17:00:00,ITA,11,Marche,43.61675973,13.5188753,2477.0981246757437,2474.5796049732708,2477.0981246757437,2471.3304438998543,2477.0981246757437,2477.0981246757437,0.0,2455.7005285421324,2477.0981246757437,2480.4891058890685,0.0,77.11837941819996,78.19990771800717,77.11837941819996,79.12347451836095,77.11837941819996,77.11837941819996,0.0,80.390554525561,77.11837941819996,74.69036024948664
536,2020-03-21 17:00:00,ITA,14,Molise,41.55774754,14.65916051,50.68304595746944,50.02501215629581,50.68304595746944,49.948582414211664,50.68304595746944,52.00791563114801,65.64149478964205,65.64149478964205,50.68304595746944,51.619326897694314,0.0,3.9992136791026716,4.447278370443145,3.9992136791026716,4.224240926019052,3.9992136791026716,4.275516938671734,6.58302827639171,6.58302827639171,3.9992136791026716,3.9568751167704153
