,data,codice_regione,denominazione_regione,casi_domani,std_casi_domani,morti_domani,std_morti_domani,casi_dopodomani,std_casi_dopodomani,morti_dopodomani,std_morti_dopodomani
651,2020-03-26T17:00:00,13,Abruzzo,116.0,16.0,11.0,1.0,130.0,20.0,13.0,1.0
652,2020-03-26T17:00:00,17,Basilicata,18.0,3.0,-0.0,0.0,20.0,4.0,-0.0,0.0
653,2020-03-26T17:00:00,4,P.A. Bolzano,71.0,4.0,10.0,2.0,76.0,4.0,12.0,2.0
654,2020-03-26T17:00:00,18,Calabria,37.0,2.0,2.0,1.0,41.0,3.0,3.0,1.0
655,2020-03-26T17:00:00,15,Campania,113.0,3.0,24.0,5.0,123.0,3.0,30.0,8.0
656,2020-03-26T17:00:00,8,Emilia Romagna,997.0,69.0,113.0,2.0,1088.0,80.0,124.0,2.0
657,2020-03-26T17:00:00,6,Friuli Venezia Giulia,113.0,12.0,9.0,2.0,123.0,14.0,10.0,2.0
658,2020-03-26T17:00:00,12,Lazio,230.0,6.0,21.0,2.0,256.0,7.0,25.0,3.0
659,2020-03-26T17:00:00,7,Liguria,282.0,19.0,35.0,5.0,313.0,22.0,39.0,6.0
660,2020-03-26T17:00:00,3,Lombardia,2206.0,86.0,432.0,18.0,2346.0,96.0,470.0,21.0
661,2020-03-26T17:00:00,11,Marche,205.0,4.0,47.0,5.0,218.0,4.0,54.0,7.0
662,2020-03-26T17:00:00,14,Molise,10.0,5.0,0.0,0.0,11.0,5.0,0.0,0.0
663,2020-03-26T17:00:00,1,Piemonte,687.0,39.0,63.0,12.0,758.0,46.0,71.0,15.0
664,2020-03-26T17:00:00,16,Puglia,125.0,11.0,12.0,2.0,138.0,13.0,14.0,2.0
665,2020-03-26T17:00:00,20,Sardegna,50.0,5.0,5.0,2.0,55.0,6.0,7.0,2.0
666,2020-03-26T17:00:00,19,Sicilia,195.0,5.0,13.0,2.0,228.0,6.0,19.0,3.0
667,2020-03-26T17:00:00,9,Toscana,299.0,7.0,23.0,2.0,327.0,8.0,26.0,3.0
668,2020-03-26T17:00:00,4,P.A. Trento,107.0,5.0,24.0,3.0,116.0,6.0,30.0,4.0
669,2020-03-26T17:00:00,10,Umbria,90.0,3.0,1.0,0.0,101.0,3.0,1.0,0.0
670,2020-03-26T17:00:00,2,Valle d'Aosta,10.0,3.0,10.0,2.0,11.0,4.0,13.0,3.0
671,2020-03-26T17:00:00,5,Veneto,551.0,6.0,42.0,2.0,594.0,7.0,48.0,3.0
