,data,codice_regione,denominazione_regione,casi_domani,std_casi_domani,morti_domani,std_morti_domani,casi_dopodomani,std_casi_dopodomani,morti_dopodomani,std_morti_dopodomani
609,2020-03-24 17:00:00,13,Abruzzo,66.0,11.0,12.0,3.0,73.0,13.0,15.0,4.0
610,2020-03-24 17:00:00,17,Basilicata,11.0,3.0,0.0,,12.0,4.0,0.0,
611,2020-03-24 17:00:00,4,P.A. Bolzano,61.0,3.0,9.0,1.0,66.0,3.0,12.0,2.0
612,2020-03-24 17:00:00,18,Calabria,33.0,5.0,2.0,1.0,36.0,6.0,3.0,2.0
613,2020-03-24 17:00:00,15,Campania,102.0,7.0,22.0,6.0,112.0,8.0,31.0,10.0
614,2020-03-24 17:00:00,8,Emilia Romagna,1066.0,84.0,109.0,8.0,1188.0,101.0,121.0,9.0
615,2020-03-24 17:00:00,6,Friuli Venezia Giulia,77.0,7.0,10.0,1.0,83.0,9.0,11.0,1.0
616,2020-03-24 17:00:00,12,Lazio,225.0,14.0,14.0,3.0,254.0,18.0,16.0,4.0
617,2020-03-24 17:00:00,7,Liguria,296.0,26.0,37.0,6.0,337.0,33.0,43.0,7.0
618,2020-03-24 17:00:00,3,Lombardia,1932.0,47.0,434.0,14.0,2054.0,52.0,479.0,17.0
619,2020-03-24 17:00:00,11,Marche,221.0,31.0,32.0,3.0,239.0,36.0,37.0,4.0
620,2020-03-24 17:00:00,14,Molise,4.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0
621,2020-03-24 17:00:00,1,Piemonte,732.0,64.0,59.0,5.0,829.0,80.0,68.0,6.0
622,2020-03-24 17:00:00,16,Puglia,144.0,11.0,7.0,1.0,164.0,14.0,8.0,1.0
623,2020-03-24 17:00:00,20,Sardegna,34.0,11.0,8.0,1.0,37.0,13.0,12.0,2.0
624,2020-03-24 17:00:00,19,Sicilia,163.0,20.0,10.0,1.0,194.0,28.0,16.0,2.0
625,2020-03-24 17:00:00,9,Toscana,271.0,21.0,27.0,2.0,298.0,25.0,33.0,3.0
626,2020-03-24 17:00:00,4,P.A. Trento,131.0,29.0,14.0,2.0,147.0,36.0,18.0,3.0
627,2020-03-24 17:00:00,10,Umbria,76.0,2.0,4.0,2.0,86.0,2.0,5.0,2.0
628,2020-03-24 17:00:00,2,Valle d'Aosta,34.0,10.0,7.0,2.0,37.0,12.0,9.0,3.0
629,2020-03-24 17:00:00,5,Veneto,516.0,35.0,30.0,1.0,560.0,40.0,34.0,2.0
